=== SESSION INFORMATION ===
Session ID,20251109_221551
Stock,RELIANCE
Timeframe (min),1
Brokerage (%),0.05
Order Quantity,10

=== ACCOUNT METRICS ===
Initial Balance,100000.0
Final Balance,90457.50254999999
Portfolio Value,90457.5
Total P&L,-9542.5
Total P&L %,-9.54
Current Position,0

=== TRADING STATISTICS ===
Total Trades,372
Winning Trades,6
Losing Trades,366
Win Rate (%),1.61
Avg Win,5.12
Avg Loss,26.16
Largest Win,13.22
Largest Loss,-65.58
Profit Factor,0.0
Expectancy,-25.65
Avg Hold Time (min),0.16

=== RISK METRICS ===
Sharpe Ratio,-4.69
Max Drawdown (%),9.55

=== GENERATED ===
Timestamp,2025-11-10 00:13:27
