=== SESSION INFORMATION ===
Session ID,20251109_182800
Stock,RELIANCE
Timeframe (min),1
Brokerage (%),0.05
Order Quantity,10

=== ACCOUNT METRICS ===
Initial Balance,100000.0
Final Balance,74575.43555000001
Portfolio Value,99527.14
Total P&L,-472.86
Total P&L %,-0.47
Current Position,10

=== TRADING STATISTICS ===
Total Trades,16
Winning Trades,0
Losing Trades,16
Win Rate (%),0.0
Avg Win,0
Avg Loss,28.84
Largest Win,0
Largest Loss,-53.43
Profit Factor,0.0
Expectancy,-28.84
Avg Hold Time (min),0.14

=== RISK METRICS ===
Sharpe Ratio,-5.96
Max Drawdown (%),0.47

=== GENERATED ===
Timestamp,2025-11-09 18:32:31
