=== SESSION INFORMATION ===
Session ID,20251109_165859
Stock,RELIANCE
Timeframe (min),1
Brokerage (%),0.05
Order Quantity,10

=== ACCOUNT METRICS ===
Initial Balance,100000.0
Final Balance,99975.3931
Portfolio Value,99975.39
Total P&L,-24.61
Total P&L %,-0.02
Current Position,0

=== TRADING STATISTICS ===
Total Trades,1
Winning Trades,0
Losing Trades,1
Win Rate (%),0.0
Avg Win,0
Avg Loss,24.6
Largest Win,0
Largest Loss,-24.6
Profit Factor,0.0
Expectancy,-24.6
Avg Hold Time (min),0.5

=== RISK METRICS ===
Sharpe Ratio,-2.8
Max Drawdown (%),0.02

=== GENERATED ===
Timestamp,2025-11-09 16:59:38
