Trade ID,Action,Timestamp,Price,Quantity,Entry Price,Exit Price,Entry Time,Exit Time,Holding Period (min),Gross P&L,Gross P&L %,Fees,Net P&L,Net P&L %,Status
1,BUY,2025-11-09 16:58:59,2500.67,10,2500.67,,2025-11-09 16:58:59,,,,,,,,OPEN
1,SELL,2025-11-09 17:08:59,2500.71,10,2500.67,2500.71,2025-11-09 16:59:02,2025-11-09 17:08:59,0.5,0.4,0.0,25.0,-24.6,-0.1,LOSS
2,BUY,2025-11-09 17:10:59,2499.76,10,2499.76,,2025-11-09 17:10:59,,,,,,,,OPEN
